,name,prob
0,software,0.01987957216059392
1,neural-network,0.014816040853147276
2,google,0.014087628232529532
3,model,0.013363863982379017
4,graphic,0.012345012320423739
5,gpu,0.012211146612571536
6,other,0.011666458220113259
7,content,0.010139387843652481
8,processing-unit,0.009988009409324934
9,sycl,0.009289195321285184
10,application,0.008906599214003398
11,learning,0.008617077824117325
12,machine-learning,0.008563854934013088
13,network-research,0.00851890377316209
14,artificial-intelligence,0.008370678791362378
15,tensor,0.008115585071138545
16,language,0.008087627307404149
17,network,0.008082680614509362
18,smartphone,0.007995166936486076
19,cpu,0.007734297458521093
20,memory,0.00711678110636718
21,Networks,0.006826024123075142
22,deepdream,0.006511317982501244
23,machine,0.006114609354086694
24,community,0.006019266960431211
25,video,0.0059292309176298364
26,utensor,0.005824466992806328
27,ecosystem,0.005771345492314965
28,c++,0.005695053793931235
29,type,0.0056158713344671455
30,api,0.0056040064897240355
31,computer,0.005430218355339066
32,server,0.005409022721561167
33,use,0.005191742331381473
34,research,0.0051740383512758
35,security,0.005132312075738551
36,datum,0.005094015464547183
37,tensorflow,0.005016236536396759
38,cuda,0.0048238803963576
39,tpu,0.004800626145687703
40,device,0.004732171064455454
41,graphics-card,0.004731177039161219
42,example,0.004679939834506019
43,library,0.004679543249203834
44,speech-recognition,0.004662033734489205
45,hardware,0.004496409461124524
46,programming,0.0044526862733131715
47,team,0.0044351651225759256
48,technology,0.004389728066123713
49,environment,0.0043376810875246545
50,top,0.004333231608374093
51,minecraft-shaders,0.0042565873664684945
52,array,0.004198779298670769
53,quantum,0.004193861426320576
54,performance,0.004187125761068247
55,mind,0.004146589993059635
56,intelligence,0.00399167291770149
57,operating-system,0.003979528086998404
58,phone,0.003973186003616797
59,kubeflow,0.003968062136553701
60,cloud,0.0039612509836311205
61,development,0.003812973700701692
62,io,0.003771526216013862
63,android,0.0037703744381497105
64,film,0.003689251589237742
65,code,0.0036168790860076866
66,error,0.0036005123489051822
67,speech,0.003515712878062407
68,function,0.0035130884207405094
69,github,0.003485826022099292
70,flag,0.003429790377844192
71,javascript,0.0034230878342759127
72,project,0.0033790183357571557
73,cnn,0.003378114504315335
74,mcu,0.0033781145043153345
75,recognition-technology,0.00337700910426155
76,product,0.003370423809416705
77,crystal,0.0033135811354364996
78,name,0.003204999249343987
79,implementation,0.003193840339471113
80,domain,0.003177352039933117
81,platform,0.0031406133323134697
82,TensorFlow.js,0.0031099303288445145
83,microsoft,0.0030754547879270114
84,ultra,0.0030312275455586972
85,app,0.003001562417169288
86,design,0.0029661805263350573
87,creepy,0.0029580234284309163
88,tool,0.0029467423685014386
89,processor,0.0029310632426776113
90,recognition,0.002876672842018853
91,neural-networks,0.002845789360122033
92,mechanic,0.0027785754556874315
93,shaders,0.0027252542853427545
94,pro,0.002689282851908364
95,record,0.002673550537723983
96,url,0.0026539589638725006
97,information,0.002645602698603887
98,theory,0.0025305805242328977
99,hbm,0.0025258047714546493
100,tensorflow-lite,0.0025131525919550443
101,refactoring,0.0024700683985847314
102,history,0.002445734335129452
103,python,0.002443069509665179
104,java,0.002394297116120811
105,form,0.0023802285408804193
106,home,0.0023463820705383904
107,object,0.0022223667383545523
108,watt,0.0022193967229468736
109,training,0.00219915720015675
110,child,0.0021461365903522843
111,music,0.002125209772562528
112,container,0.0021094300883008473
113,voice-assistant,0.0021005088395069545
114,world,0.0020875249178539867
115,developer,0.0020866812835344394
116,good,0.002071295112048143
117,feature,0.0020657063198533305
118,release,0.002058691117243999
119,stack,0.0020279598727065136
120,update,0.0019786362075113455
121,metal,0.0019768042609677435
122,apple,0.001935742811740779
123,task,0.0019213883548504262
124,user,0.0018919359640533207
125,year,0.0018509218629668444
126,industry,0.0018120421226906149
127,upgrade,0.001803649195517006
128,classical,0.0018012516276891648
129,property,0.0017986887987579468
130,interface,0.0017802312001390683
131,version,0.0017510913088210932
132,quantum-mechanics,0.001746736846764722
133,minecraft,0.0017433162845868215
134,system,0.0017238889516661543
135,computing,0.0017002939790883083
136,university,0.0016970297818886505
137,word,0.0016862082917176563
138,skill,0.0016360265884416436
139,growth,0.00163254797512387
140,shader,0.0015866098063472697
141,page,0.001577898572487099
142,office,0.0015521437641222878
143,service,0.001519754740130178
144,ram,0.0015150152659602204
145,definition,0.0015004548263815093
146,purpose,0.0014877148336615513
147,student,0.0014390680211456143
148,image,0.0014280429719309429
149,parallelism,0.001386450192106845
150,dataset,0.0013797283687287058
151,program,0.0013736555607899463
152,deep-learning,0.0013681418607940181
153,usage,0.0013588802082215926
154,stock,0.0013413215296910566
155,course,0.0013104611958562886
156,study,0.0013001364813191613
157,production,0.0012814427341753935
158,value,0.0012753810426446655
159,concept,0.0012726504180350278
160,process,0.001272616751358493
161,mobile,0.001254010702415315
162,structure,0.0012514947683692813
163,era,0.0012476255952256782
164,range,0.0012368918351809619
165,art,0.0012205164815516985
166,setup,0.0012204374417494055
167,public,0.0012112764713621336
168,compute-pipeline,0.0011981311658211743
169,instrumentation,0.001192486046035438
170,web,0.0011908665014650206
171,unit,0.0011795771841725084
172,all,0.0011634868120034047
173,acquisition,0.0011625732191574783
174,principle,0.0011436543834383304
175,source,0.001138743276592121
176,circuit,0.0011357679918558093
177,print,0.0011348201293712816
178,documentation,0.0011192729443890537
179,multidimensional-array,0.0011144598273696263
180,practice-period,0.0010797986100694666
181,processing,0.0010671015774144144
182,cloud-tpu,0.0010641902950429246
183,time,0.0010426631680030237
184,difference,0.0010307094589281202
185,kubernetes,0.001029387273939142
186,person,0.0010268818857076469
187,reference,0.0010260588779425405
